textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
33300,	   456000,	   453000,	   569900,	   644500,	   178300
33400,	   397700,	   233300,	   334900,	   634300,	   179400
33500,	   397300,	   233700,	   381400,	   1075000,	   179300
33600,	   397300,	   240700,	   337600,	   637900,	   215000
33700,	   396100,	   280600,	   445000,	   644800,	   250400
33800,	   400700,	   621900,	   340200,	   645000,	   180800
33900,	   400200,	   239500,	   340700,	   651900,	   181100
34000,	   402200,	   237200,	   342900,	   646800,	   182500
34100,	   402500,	   261300,	   395200,	   647900,	   183600
34200,	   615400,	   241200,	   383900,	   651100,	   183800
34300,	   406200,	   238900,	   522300,	   1054800,	   208400
34400,	   462600,	   272300,	   366200,	   659100,	   184400
34500,	   408300,	   241200,	   347000,	   689900,	   184400
34600,	   409900,	   242400,	   420500,	   658900,	   185200
34700,	   410200,	   241200,	   352400,	   659600,	   186100
34800,	   412900,	   241600,	   424000,	   663600,	   202600
34900,	   411800,	   242300,	   353700,	   699900,	   187700
35000,	   414600,	   243500,	   386200,	   670000,	   186300
35100,	   612300,	   335300,	   346700,	   667900,	   189800
35200,	   416100,	   244700,	   356100,	   668900,	   190100
35300,	   416600,	   245100,	   410300,	   687700,	   189900
35400,	   420800,	   326300,	   359600,	   673900,	   190700
35500,	   454000,	   246800,	   392800,	   963200,	   191400
35600,	   420900,	   246900,	   360800,	   677000,	   191300
35700,	   422000,	   251700,	   360900,	   678100,	   193300
35800,	   531400,	   254200,	   450800,	   680900,	   248700
35900,	   466500,	   336000,	   464000,	   784700,	   193000
36000,	   425800,	   250400,	   363300,	   684800,	   192200
36100,	   427100,	   252200,	   364600,	   687100,	   193800
36200,	   428600,	   252300,	   365600,	   759100,	   193600
36300,	   429800,	   254500,	   366800,	   735400,	   193800
36400,	   429900,	   322500,	   653800,	   696600,	   194600
36500,	   432900,	   252900,	   367300,	   699700,	   194900
36600,	   470400,	   295600,	   369900,	   1064500,	   392000
36700,	   784000,	   255500,	   370400,	   774600,	   196100
36800,	   524600,	   270300,	   371500,	   701100,	   196600
36900,	   437900,	   255900,	   372000,	   708400,	   198600
37000,	   439500,	   256500,	   371600,	   730100,	   214600
37100,	   439700,	   257100,	   373600,	   711000,	   199700
37200,	   474200,	   257700,	   373600,	   797600,	   198900
37300,	   443400,	   258300,	   376100,	   875900,	   205200
37400,	   556200,	   339600,	   392900,	   836100,	   200400
37500,	   443600,	   262500,	   447000,	   823600,	   205300
37600,	   447600,	   261200,	   386000,	   786700,	   201200
37700,	   484100,	   260900,	   381200,	   734900,	   203000
37800,	   448600,	   261400,	   381100,	   724000,	   203200
37900,	   449900,	   266500,	   382900,	   720600,	   201900
38000,	   450900,	   262600,	   382700,	   721400,	   204700
38100,	   822300,	   271500,	   477600,	   824300,	   204900
38200,	   454800,	   264100,	   383100,	   729200,	   204000
38300,	   454500,	   265400,	   386700,	   732100,	   204600
38400,	   456100,	   274400,	   385800,	   735500,	   205300
38500,	   598200,	   301900,	   389900,	   733300,	   208400
38600,	   455700,	   266500,	   429100,	   740000,	   208900
38700,	   459200,	   297700,	   393000,	   738500,	   206700
38800,	   458800,	   268400,	   505000,	   742000,	   207600
38900,	   476200,	   328000,	   468200,	   810200,	   208300
39000,	   463600,	   269100,	   392600,	   745000,	   208500
39100,	   501100,	   535000,	   409800,	   746000,	   209600
39200,	   462200,	   277700,	   396400,	   806000,	   318300
39300,	   636500,	   363400,	   599500,	   804000,	   228200
39400,	   466400,	   271700,	   400800,	   751100,	   210800
39500,	   466900,	   344800,	   444500,	   801500,	   210900
39600,	   471100,	   280400,	   497100,	   953000,	   215000
39700,	   471000,	   280400,	   408800,	   749100,	   307900
39800,	   472600,	   277100,	   396100,	   761500,	   214100
39900,	   470800,	   312400,	   401400,	   758800,	   214100
40000,	   493700,	   374500,	   401500,	   769700,	   215400
40100,	   475500,	   276300,	   405900,	   766100,	   214400
40200,	   561000,	   278400,	   405000,	   760900,	   216400
